FamilyID	Streptanthus<1>	Cam<2>	Spi<3>	Rsq<4>	Boh<5>	Tpa<6>	Tar<7>	Aal<8>	Dni<9>	Ath<10>	Aly<11>	Chi<12>	Esy<13>	Aar<14>	<15>	<16>	<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>
OG0000248	1	3	4	10	13	2	6	6	4	7	9	13	6	12	5	6	6	6	6	6	6	4	3	10	6	8	8
OG0000250	6	6	8	12	11	5	8	4	2	9	9	8	7	1	4	5	6	6	7	7	7	7	6	10	4	7	9
OG0000251	1	14	7	2	10	5	11	0	8	10	8	10	7	3	4	5	6	6	7	7	7	7	7	7	5	8	8
OG0000255	0	8	76	0	1	1	6	0	0	0	0	0	2	1	1	1	1	1	2	2	2	9	7	1	0	0	0
OG0000257	0	3	77	2	1	1	5	2	0	0	0	0	0	3	1	1	1	1	2	2	2	6	3	2	1	0	0
OG0000259	2	9	8	9	7	5	10	2	4	13	7	12	2	3	4	4	6	6	7	7	7	7	7	7	4	8	9
OG0000260	0	1	2	14	37	1	15	7	1	0	1	0	13	1	3	4	4	4	4	4	4	2	1	15	4	1	1
OG0000261	0	4	2	2	10	0	5	3	7	9	16	7	16	12	6	6	6	6	5	4	4	3	3	4	6	8	10
OG0000265	1	6	4	4	21	2	15	1	9	6	2	6	6	9	5	5	5	5	5	5	5	4	4	7	5	5	5
OG0000268	0	0	0	6	12	1	7	21	11	2	9	3	15	4	4	5	5	5	5	4	4	0	0	6	11	5	5
OG0000269	9	12	7	7	9	6	6	5	2	6	6	6	6	4	4	5	6	6	6	7	7	8	9	8	5	6	6
OG0000271	0	5	23	1	11	2	6	0	22	0	1	0	5	15	4	4	4	5	5	5	5	6	5	5	5	1	1
OG0000272	0	6	77	1	1	1	4	0	0	0	0	0	0	1	1	1	1	1	2	2	2	8	6	1	0	0	0
OG0000273	8	7	10	7	8	7	9	8	4	7	8	5	1	1	3	3	6	6	7	7	7	8	8	7	6	6	7
OG0000274	1	16	12	5	4	5	5	5	6	11	8	9	1	2	3	4	5	5	5	5	5	8	8	5	5	7	9
OG0000275	6	10	5	8	10	7	8	4	3	9	9	10	0	1	2	3	5	5	7	7	7	7	7	8	4	8	9
OG0000277	0	5	1	8	8	1	10	6	2	4	7	12	9	16	5	5	5	5	5	5	5	3	3	7	5	6	6
OG0000278	5	11	2	11	11	6	8	5	6	5	4	6	7	2	4	5	5	5	6	6	6	6	6	10	5	5	5
OG0000280	2	11	1	8	5	3	6	6	6	11	8	13	6	2	4	5	5	5	5	5	5	5	5	6	6	8	9
OG0000281	3	3	3	17	16	5	5	6	4	4	10	7	3	2	3	4	5	5	5	5	5	3	3	13	5	6	6
OG0000284	6	10	6	10	8	4	5	14	1	5	5	5	5	4	4	5	5	5	5	6	6	6	7	8	5	5	5
OG0000285	0	2	0	2	2	0	27	0	2	0	0	0	0	53	3	2	2	2	2	2	2	1	1	2	2	0	0
OG0000288	3	11	9	1	9	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	7	7	6	6	6	6
OG0000289	0	6	1	10	13	5	5	10	8	6	6	6	10	1	4	6	6	6	6	6	6	4	4	10	8	6	6
OG0000290	2	6	4	4	5	4	6	4	4	14	11	10	12	1	4	5	5	5	5	4	4	4	4	4	4	8	11
OG0000291	0	0	0	28	34	7	6	0	5	0	2	0	3	2	3	3	3	3	5	6	6	0	0	23	3	2	2
OG0000292	4	7	7	2	10	4	7	6	4	5	6	6	15	3	4	6	6	6	6	6	6	6	6	6	6	6	6
OG0000293	5	9	13	6	6	4	6	5	4	6	5	4	12	1	4	5	5	5	5	6	6	8	8	6	5	5	5
OG0000294	2	10	5	8	10	4	5	11	3	10	5	7	4	1	3	4	5	5	5	5	5	5	5	8	6	6	7
OG0000295	0	8	9	1	6	7	11	6	3	6	6	15	0	7	4	4	5	5	6	6	6	6	6	5	5	7	6
OG0000297	0	5	2	1	11	11	3	0	22	2	7	0	1	20	4	4	4	4	4	4	4	3	3	4	4	4	4
