FamilyID	Streptanthus<1>	Cam<2>	Spi<3>	Rsq<4>	Boh<5>	Tpa<6>	Tar<7>	Aal<8>	Dni<9>	Ath<10>	Aly<11>	Chi<12>	Esy<13>	Aar<14>	<15>	<16>	<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>
OG0000295	-6	2	3	-4	1	1	5	1	-2	0	0	8	-4	3	0	0	1	0	1	0	0	0	0	-1	0	2	-1
OG0000297	-3	2	-1	-3	7	7	-1	-4	18	-2	3	-4	-3	16	0	0	0	0	0	0	0	-1	0	0	0	0	0
OG0000301	-2	6	0	-5	4	0	1	0	-1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	-1	0	0
OG0000303	0	2	0	0	0	0	0	0	-3	0	0	2	0	8	0	0	0	0	0	0	0	0	1	1	0	0	0
OG0000304	-5	13	0	-5	3	-3	0	-3	1	4	-1	0	0	2	0	1	0	0	0	0	0	0	0	0	-1	2	2
OG0000305	0	0	0	-2	9	-1	-1	0	0	0	0	0	0	67	0	-1	-1	0	0	0	0	-1	0	1	-1	-1	0
OG0000307	-3	3	-1	7	-2	0	2	2	-3	1	0	1	-3	3	0	0	1	0	0	0	0	0	0	0	0	1	2
OG0000308	1	0	1	1	0	-1	0	1	-2	0	0	0	-3	7	0	0	0	0	0	0	1	0	0	1	0	0	0
OG0000309	0	-1	1	0	1	-1	0	2	0	0	0	0	-2	-1	0	0	2	0	0	1	1	0	0	3	0	0	0
OG0000310	-3	1	-1	-2	1	3	3	-1	0	1	-1	3	-3	2	0	1	1	0	0	0	0	-1	0	0	-1	1	0
OG0000311	-1	5	-2	-5	8	1	1	1	-1	0	0	0	-2	1	0	0	1	0	0	0	0	1	1	0	0	1	0
OG0000312	0	-2	7	-2	11	-2	-1	-2	4	0	0	0	0	36	0	0	-1	0	0	0	1	0	-1	3	0	-2	0
OG0000316	-2	1	2	0	-1	-2	0	1	-1	-1	3	2	-3	-1	0	1	3	0	0	0	0	0	0	0	0	2	0
OG0000318	-4	2	5	-3	1	-2	5	0	-1	0	-1	7	4	-1	0	1	0	0	1	0	0	1	0	0	-4	0	-1
OG0000319	-4	6	0	-3	1	0	2	-2	0	0	2	0	7	4	0	1	0	0	0	-1	0	0	0	0	-1	1	2
OG0000321	-4	1	2	-4	0	-4	11	-3	1	14	-2	0	-2	0	0	0	2	0	0	0	0	0	0	0	0	3	5
OG0000325	-3	0	3	-2	0	0	0	-1	0	1	0	-2	3	0	0	1	1	0	0	0	0	0	0	0	-1	0	1
OG0000326	0	1	-4	2	0	-4	-1	4	-3	0	0	0	1	2	0	1	0	0	0	0	1	0	2	1	0	0	1
OG0000327	-2	1	2	-1	3	-2	0	1	1	1	0	-1	0	-1	0	1	0	0	0	0	1	0	0	1	1	0	0
OG0000329	-2	0	0	-1	2	-1	0	-2	0	0	3	6	0	6	0	0	0	-1	0	0	0	-1	0	0	0	6	3
