#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
OG0000095	1.64072	1.29358e-27	1.29358e-27	1	*
OG0000096	0.359276	2.79584e-64	2.88486e-33	9.69145e-32	N/S
OG0000096	1.64072	2.88486e-33	2.88486e-33	1	*
OG0000097	0.359276	6.79259e-140	3.09415e-70	2.1953e-70	N/S
OG0000097	1.64072	3.09415e-70	3.09415e-70	1	*
OG0000098	0.359276	2.19703e-142	3.84373e-69	5.71587e-74	N/S
OG0000098	1.64072	3.84373e-69	3.84373e-69	1	*
OG0000099	0.359276	1.38369e-32	2.73631e-22	5.05676e-11	N/S
OG0000099	1.64072	2.73631e-22	2.73631e-22	1	*
OG0000100	0.359276	4.71785e-22	4.49852e-20	0.0104876	N/S
OG0000100	1.64072	4.45135e-20	4.49852e-20	0.989512	*
OG0000101	0.359276	3.16828e-24	6.23396e-20	5.08229e-05	N/S
OG0000101	1.64072	6.23364e-20	6.23396e-20	0.999949	*
OG0000102	0.359276	1.00829e-22	4.26575e-20	0.0023637	N/S
OG0000102	1.64072	4.25567e-20	4.26575e-20	0.997636	*
OG0000103	0.359276	7.76248e-85	1.46248e-43	5.30776e-42	N/S
OG0000103	1.64072	1.46248e-43	1.46248e-43	1	*
OG0000105	0.359276	2.70009e-66	3.63692e-33	7.42411e-34	N/S
OG0000105	1.64072	3.63692e-33	3.63692e-33	1	*
OG0000106	0.359276	9.67977e-29	8.20578e-22	1.17963e-07	N/S
OG0000106	1.64072	8.20578e-22	8.20578e-22	1	*
OG0000107	0.359276	2.50516e-101	8.10975e-50	3.08907e-52	N/S
OG0000107	1.64072	8.10975e-50	8.10975e-50	1	*
OG0000108	0.359276	5.1515e-49	1.70263e-29	3.02561e-20	N/S
OG0000108	1.64072	1.70263e-29	1.70263e-29	1	*
OG0000109	0.359276	1.07071e-116	2.24062e-58	4.77862e-59	N/S
OG0000109	1.64072	2.24062e-58	2.24062e-58	1	*
OG0000111	0.359276	1.55557e-49	3.47819e-28	4.47235e-22	N/S
OG0000111	1.64072	3.47819e-28	3.47819e-28	1	*
OG0000113	0.359276	6.0804e-40	2.64408e-27	2.29963e-13	N/S
OG0000113	1.64072	2.64408e-27	2.64408e-27	1	*
OG0000120	0.359276	2.83315e-61	3.0139e-34	9.40026e-28	N/S
OG0000120	1.64072	3.0139e-34	3.0139e-34	1	*
OG0000126	0.359276	1.1091e-29	1.48503e-21	7.46852e-09	N/S
OG0000126	1.64072	1.48503e-21	1.48503e-21	1	*
OG0000129	0.359276	4.38177e-32	8.14403e-22	5.38034e-11	N/S
OG0000129	1.64072	8.14403e-22	8.14403e-22	1	*
OG0000130	0.359276	3.52168e-66	1.23249e-36	2.85738e-30	N/S
OG0000130	1.64072	1.23249e-36	1.23249e-36	1	*
OG0000133	0.359276	3.73347e-48	2.5287e-28	1.47644e-20	N/S
OG0000133	1.64072	2.5287e-28	2.5287e-28	1	*
OG0000135	0.359276	7.1606e-44	1.88532e-26	3.79809e-18	N/S
OG0000135	1.64072	1.88532e-26	1.88532e-26	1	*
OG0000139	0.359276	2.24585e-47	1.08484e-28	2.07021e-19	N/S
OG0000139	1.64072	1.08484e-28	1.08484e-28	1	*
OG0000140	0.359276	2.36594e-46	3.39382e-30	6.97131e-17	N/S
OG0000140	1.64072	3.39382e-30	3.39382e-30	1	*
OG0000144	0.359276	3.08536e-88	4.1739e-45	7.39204e-44	N/S
OG0000144	1.64072	4.1739e-45	4.1739e-45	1	*
OG0000147	0.359276	9.57913e-53	2.82504e-30	3.3908e-23	N/S
OG0000147	1.64072	2.82504e-30	2.82504e-30	1	*
OG0000150	0.359276	1.1316e-106	1.79643e-52	6.29919e-55	N/S
OG0000150	1.64072	1.79643e-52	1.79643e-52	1	*
OG0000151	0.359276	9.08867e-132	5.23864e-67	1.73493e-65	N/S
OG0000151	1.64072	5.23864e-67	5.23864e-67	1	*
OG0000153	0.359276	4.53383e-30	3.63034e-20	1.24887e-10	N/S
OG0000153	1.64072	3.63034e-20	3.63034e-20	1	*
OG0000155	0.359276	9.24329e-57	2.92413e-31	3.16104e-26	N/S
OG0000155	1.64072	2.92413e-31	2.92413e-31	1	*
OG0000158	0.359276	1.03461e-32	1.15209e-22	8.98029e-11	N/S
OG0000158	1.64072	1.15209e-22	1.15209e-22	1	*
OG0000159	0.359276	8.04229e-75	2.27636e-39	3.53295e-36	N/S
OG0000159	1.64072	2.27636e-39	2.27636e-39	1	*
OG0000161	0.359276	2.00666e-34	1.82278e-22	1.10088e-12	N/S
OG0000161	1.64072	1.82278e-22	1.82278e-22	1	*
OG0000163	0.359276	8.11086e-29	1.13846e-20	7.1244e-09	N/S
OG0000163	1.64072	1.13846e-20	1.13846e-20	1	*
OG0000165	0.359276	4.82922e-52	4.79973e-32	1.00614e-20	N/S
OG0000165	1.64072	4.79973e-32	4.79973e-32	1	*
OG0000169	0.359276	8.52062e-30	4.16343e-21	2.04654e-09	N/S
OG0000169	1.64072	4.16343e-21	4.16343e-21	1	*
OG0000175	0.359276	8.38302e-82	5.64008e-43	1.48633e-39	N/S
OG0000175	1.64072	5.64008e-43	5.64008e-43	1	*
OG0000176	0.359276	3.6021e-53	6.99316e-32	5.1509e-22	N/S
OG0000176	1.64072	6.99316e-32	6.99316e-32	1	*
OG0000177	0.359276	1.07896e-40	9.24041e-27	1.16765e-14	N/S
OG0000177	1.64072	9.24041e-27	9.24041e-27	1	*
OG0000180	0.359276	1.38395e-35	8.69847e-25	1.59103e-11	N/S
OG0000180	1.64072	8.69847e-25	8.69847e-25	1	*
OG0000184	0.359276	6.98994e-106	9.66024e-53	7.23578e-54	N/S
OG0000184	1.64072	9.66024e-53	9.66024e-53	1	*
OG0000189	0.359276	4.74931e-63	5.27301e-34	9.00682e-30	N/S
OG0000189	1.64072	5.27301e-34	5.27301e-34	1	*
OG0000196	0.359276	7.79567e-38	1.91434e-22	4.07224e-16	N/S
OG0000196	1.64072	1.91434e-22	1.91434e-22	1	*
OG0000197	0.359276	4.49942e-39	1.03613e-24	4.34253e-15	N/S
OG0000197	1.64072	1.03613e-24	1.03613e-24	1	*
OG0000198	0.359276	9.454e-44	3.49556e-28	2.70457e-16	N/S
OG0000198	1.64072	3.49556e-28	3.49556e-28	1	*
OG0000200	0.359276	4.31323e-24	2.44917e-19	1.7611e-05	N/S
OG0000200	1.64072	2.44912e-19	2.44917e-19	0.999982	*
OG0000203	0.359276	6.53691e-32	7.74073e-23	8.44483e-10	N/S
OG0000203	1.64072	7.74073e-23	7.74073e-23	1	*
OG0000204	0.359276	3.30833e-39	6.82814e-24	4.84514e-16	N/S
OG0000204	1.64072	6.82814e-24	6.82814e-24	1	*
OG0000205	0.359276	4.90788e-69	3.61792e-35	1.35655e-34	N/S
OG0000205	1.64072	3.61792e-35	3.61792e-35	1	*
OG0000206	0.359276	1.15183e-37	6.42075e-26	1.79391e-12	N/S
OG0000206	1.64072	6.42075e-26	6.42075e-26	1	*
OG0000207	0.359276	1.84494e-24	2.42779e-19	7.59925e-06	N/S
OG0000207	1.64072	2.42777e-19	2.42779e-19	0.999992	*
OG0000208	0.359276	6.08035e-72	8.33895e-38	7.29151e-35	N/S
OG0000208	1.64072	8.33895e-38	8.33895e-38	1	*
OG0000209	0.359276	1.00211e-37	2.12331e-25	4.71955e-13	N/S
OG0000209	1.64072	2.12331e-25	2.12331e-25	1	*
OG0000211	0.359276	4.85084e-31	4.18047e-22	1.16036e-09	N/S
OG0000211	1.64072	4.18047e-22	4.18047e-22	1	*
OG0000212	0.359276	3.84366e-76	7.15384e-35	5.37286e-42	N/S
OG0000212	1.64072	7.15384e-35	7.15384e-35	1	*
OG0000213	0.359276	2.63006e-28	3.31846e-21	7.92554e-08	N/S
OG0000213	1.64072	3.31846e-21	3.31846e-21	1	*
OG0000214	0.359276	9.36289e-25	2.9625e-19	3.16047e-06	N/S
OG0000214	1.64072	2.96249e-19	2.9625e-19	0.999997	*
OG0000215	0.359276	1.90483e-104	3.67982e-51	5.17643e-54	N/S
OG0000215	1.64072	3.67982e-51	3.67982e-51	1	*
OG0000217	0.359276	2.38595e-23	8.67348e-19	2.75086e-05	N/S
OG0000217	1.64072	8.67324e-19	8.67348e-19	0.999972	*
OG0000218	0.359276	1.18771e-26	9.86719e-20	1.2037e-07	N/S
OG0000218	1.64072	9.86718e-20	9.86719e-20	1	*
OG0000219	0.359276	5.31842e-26	1.38979e-19	3.82678e-07	N/S
OG0000219	1.64072	1.38979e-19	1.38979e-19	1	*
OG0000222	0.359276	1.51875e-36	4.46435e-25	3.40194e-12	N/S
OG0000222	1.64072	4.46435e-25	4.46435e-25	1	*
